"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"NELFE",0.711,0.294577530209253,0.422,0.294577530209252,0.869,0.634,"8","NELFE","8"
"TLE11",0.71,0.65202540100376,0.42,0.65202540100376,0.683,0.519,"8","TLE1","8"
"MOB4",0.71,0.53617238025708,0.42,0.53617238025708,0.848,0.698,"8","MOB4","8"
"DNMT3A",0.71,0.506844090013972,0.42,0.506844090013971,0.717,0.529,"8","DNMT3A","8"
"LACTB1",0.71,0.470331252572302,0.42,0.470331252572303,0.897,0.716,"8","LACTB","8"
"RLF",0.71,0.402385989901878,0.42,0.40238598990188,0.876,0.71,"8","RLF","8"
"VOPP1",0.71,0.378758427230923,0.42,0.378758427230921,0.814,0.582,"8","VOPP1","8"
"NAA38",0.71,0.332295170148668,0.42,0.332295170148669,0.828,0.594,"8","NAA38","8"
"SLU7",0.71,0.32670219101993,0.42,0.326702191019932,0.897,0.744,"8","SLU7","8"
"CMTM6",0.709,0.673177058021659,0.418,0.673177058021661,0.924,0.821,"8","CMTM6","8"
"RAD21",0.709,0.60555494613462,0.418,0.605554946134621,0.924,0.743,"8","RAD21","8"
"MYL12A",0.708,0.667453928196571,0.416,0.667453928196569,0.972,0.826,"8","MYL12A","8"
"NBL1",0.708,0.538615107041347,0.416,0.538615107041347,0.793,0.677,"8","NBL1","8"
"PGAP1",0.708,0.395798409997167,0.416,0.395798409997168,0.786,0.661,"8","PGAP1","8"
"TFG",0.708,0.342773421842016,0.416,0.342773421842014,0.834,0.618,"8","TFG","8"
"HNRNPD",0.707,0.617547403119046,0.414,0.617547403119048,0.897,0.731,"8","HNRNPD","8"
"AKAP17A",0.707,0.577130146178021,0.414,0.577130146178019,0.807,0.581,"8","AKAP17A","8"
"DST",0.707,0.566488912266312,0.414,0.566488912266313,0.655,0.411,"8","DST","8"
"UBE2D1",0.707,0.455324525369182,0.414,0.455324525369184,0.828,0.702,"8","UBE2D1","8"
"HDGFL31",0.707,0.452722841639462,0.414,0.452722841639462,0.676,0.521,"8","HDGFL3","8"
"APLP2",0.707,0.441726014691922,0.414,0.441726014691923,0.91,0.806,"8","APLP2","8"
"LAIR1",0.707,0.350283957542733,0.414,0.350283957542733,0.752,0.622,"8","LAIR1","8"
"EIF2AK2",0.707,0.345384971906744,0.414,0.345384971906743,0.883,0.701,"8","EIF2AK2","8"
"NEK1",0.707,0.309126444464592,0.414,0.309126444464592,0.814,0.602,"8","NEK1","8"
"SAR1B",0.707,0.298311627824645,0.414,0.298311627824643,0.897,0.727,"8","SAR1B","8"
"EIF3E",0.706,0.627738065347764,0.412,0.627738065347763,0.952,0.836,"8","EIF3E","8"
"WDR45B",0.706,0.266909661598503,0.412,0.266909661598503,0.828,0.61,"8","WDR45B","8"
"CCDC107",0.705,0.51115672754257,0.41,0.511156727542567,0.814,0.577,"8","CCDC107","8"
"BZW1",0.705,0.475811767096894,0.41,0.475811767096901,0.972,0.936,"8","BZW1","8"
"CANX",0.705,0.471445576466203,0.41,0.471445576466202,0.931,0.733,"8","CANX","8"
"SPCS2",0.704,0.534884479046043,0.408,0.534884479046044,0.959,0.834,"8","SPCS2","8"
"EIF6",0.704,0.416589478520615,0.408,0.416589478520612,0.924,0.708,"8","EIF6","8"
"TARSL2",0.704,0.335883022703591,0.408,0.335883022703593,0.821,0.685,"8","TARSL2","8"
"CRIM1",0.704,0.299806782032794,0.408,0.299806782032794,0.828,0.691,"8","CRIM1","8"
"PDIA3",0.703,0.473250709519668,0.406,0.473250709519672,0.979,0.892,"8","PDIA3","8"
"MRC2",0.703,0.284675691490785,0.406,0.284675691490785,0.676,0.48,"8","MRC2","8"
"CD81",0.702,0.614061586989258,0.404,0.614061586989259,0.938,0.874,"8","CD81","8"
"CCT8",0.702,0.392901673875129,0.404,0.392901673875128,0.876,0.696,"8","CCT8","8"
"PSMC1",0.702,0.364728064469728,0.404,0.364728064469728,0.883,0.675,"8","PSMC1","8"
"PPP1CB",0.701,0.44255962200407,0.402,0.442559622004069,0.993,0.895,"8","PPP1CB","8"
"CCNB1IP1",0.701,0.257850671475186,0.402,0.257850671475185,0.731,0.531,"8","CCNB1IP1","8"
"FURIN",0.726,1.20485011754262,0.452,1.20485011754262,0.559,0.126,"8","FURIN","8"
"FES",0.722,1.08600056149865,0.444,1.08600056149865,0.455,0.013,"8","FES","8"
