"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"POLR1D",0.726,0.754594704138338,0.452,0.754594704138338,0.944,0.626,"7","POLR1D","7"
"SSR2",0.725,1.24771610069486,0.45,1.24771610069486,0.944,0.686,"7","SSR2","7"
"NEGR11",0.723,0.780404175938431,0.446,0.780404175938431,0.889,0.779,"7","NEGR1","7"
"BOD1L1",0.723,0.756306641159382,0.446,0.756306641159381,0.958,0.729,"7","BOD1L1","7"
"CYGB1",0.722,1.16763953052301,0.444,1.16763953052301,0.944,0.566,"7","CYGB","7"
"FAU",0.721,0.941605382556157,0.442,0.941605382556157,0.972,0.946,"7","FAU","7"
"CMPK1",0.716,1.25422729353399,0.432,1.25422729353399,0.917,0.607,"7","CMPK1","7"
"CDC26",0.715,0.897301942103987,0.43,0.897301942103987,0.792,0.507,"7","CDC26","7"
"SPTBN11",0.713,1.77138933795653,0.426,1.77138933795653,0.958,0.769,"7","SPTBN1","7"
"HEBP2",0.713,0.459607472402721,0.426,0.459607472402721,0.917,0.526,"7","HEBP2","7"
"PPIC1",0.711,0.614132683556265,0.422,0.614132683556264,0.972,0.697,"7","PPIC","7"
"TCEAL3",0.708,0.62604230001246,0.416,0.626042300012461,0.958,0.696,"7","TCEAL3","7"
"DCTN2",0.707,0.859867115643368,0.414,0.859867115643369,0.861,0.466,"7","DCTN2","7"
"PQLC3",0.706,0.65994323001061,0.412,0.65994323001061,0.847,0.455,"7","PQLC3","7"
"TBCB",0.706,0.550180342596907,0.412,0.550180342596907,0.931,0.607,"7","TBCB","7"
"RAP1A",0.702,0.81359518462519,0.404,0.81359518462519,0.958,0.652,"7","RAP1A","7"
"PLAC9",0.701,0.937482065712685,0.402,0.937482065712684,0.806,0.821,"7","PLAC9","7"
"FXYD1",0.704,1.3758509648954,0.408,1.3758509648954,0.625,0.486,"7","FXYD1","7"
"C2orf401",0.701,2.05702762215296,0.402,2.05702762215296,0.542,0.253,"7","C2orf40","7"
