"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"SDHC",0.771,0.406461319829365,0.542,0.406461319829365,0.906,0.487,"7","SDHC","7"
"WDR431",0.77,0.678123702128255,0.54,0.678123702128255,0.871,0.897,"7","WDR43","7"
"ANXA3",0.769,1.05761904428166,0.538,1.05761904428166,0.776,0.555,"7","ANXA3","7"
"ZDHHC20",0.769,0.615226857260809,0.538,0.615226857260809,0.929,0.73,"7","ZDHHC20","7"
"PRPF38A",0.767,0.362691701187981,0.534,0.362691701187982,0.888,0.559,"7","PRPF38A","7"
"CKLF",0.766,0.524538242495608,0.532,0.524538242495607,0.941,0.639,"7","CKLF","7"
"YPEL22",0.766,0.471448064559705,0.532,0.471448064559704,0.882,0.781,"7","YPEL2","7"
"DLGAP4",0.766,0.302728516365272,0.532,0.302728516365271,0.906,0.555,"7","DLGAP4","7"
"TCP1",0.765,0.787721938838264,0.53,0.787721938838263,0.988,0.907,"7","TCP1","7"
"SF3B5",0.765,0.602184364569325,0.53,0.602184364569325,0.953,0.633,"7","SF3B5","7"
"BID",0.765,0.496380050539695,0.53,0.496380050539696,0.882,0.571,"7","BID","7"
"GATAD11",0.765,0.445606138962096,0.53,0.445606138962096,0.894,0.764,"7","GATAD1","7"
"CCNY",0.765,0.373484835752788,0.53,0.373484835752789,0.876,0.895,"7","CCNY","7"
"ITGA3",0.764,0.669861306908584,0.528,0.669861306908584,0.865,0.471,"7","ITGA3","7"
"TKT",0.764,0.497049094251111,0.528,0.49704909425111,0.988,0.546,"7","TKT","7"
"SFSWAP",0.764,0.413527334961173,0.528,0.413527334961172,0.941,0.685,"7","SFSWAP","7"
"TPRG1",0.764,0.287941077660717,0.528,0.287941077660717,0.988,0.945,"7","TPRG1","7"
"ACTN11",0.762,0.737540337896684,0.524,0.737540337896685,0.806,0.49,"7","ACTN1","7"
"RIPK4",0.762,0.273815799081311,0.524,0.273815799081311,0.629,0.267,"7","RIPK4","7"
"GPATCH2",0.761,0.534776953820185,0.522,0.534776953820185,0.9,0.743,"7","GPATCH2","7"
"ARMC10",0.761,0.413004285008332,0.522,0.413004285008333,0.965,0.768,"7","ARMC10","7"
"FRA10AC1",0.761,0.345000737097206,0.522,0.345000737097206,0.976,0.615,"7","FRA10AC1","7"
"ITSN12",0.761,0.308966096113011,0.522,0.30896609611301,0.965,0.696,"7","ITSN1","7"
"DIS3L2",0.761,0.280557725885872,0.522,0.280557725885874,0.988,0.776,"7","DIS3L2","7"
"AKAP1",0.761,0.269999690715021,0.522,0.26999969071502,0.924,0.565,"7","AKAP1","7"
"TNFRSF12A1",0.76,0.943881189441226,0.52,0.943881189441226,0.924,0.896,"7","TNFRSF12A","7"
"PKP3",0.76,0.432674963585811,0.52,0.43267496358581,0.812,0.331,"7","PKP3","7"
"TMUB1",0.76,0.325448710202093,0.52,0.325448710202094,0.929,0.626,"7","TMUB1","7"
"FLNB",0.759,0.774066793323434,0.518,0.774066793323433,0.912,0.551,"7","FLNB","7"
"GSDMD",0.759,0.443582335854001,0.518,0.443582335854001,0.947,0.74,"7","GSDMD","7"
"CAPG",0.759,0.424388072242432,0.518,0.424388072242431,0.835,0.401,"7","CAPG","7"
"MAP2K1",0.759,0.335209750240992,0.518,0.335209750240992,0.882,0.685,"7","MAP2K1","7"
"URM11",0.759,0.303501718290868,0.518,0.303501718290868,0.841,0.424,"7","URM1","7"
"TRIM47",0.758,0.537196684509842,0.516,0.537196684509841,0.882,0.511,"7","TRIM47","7"
"HIST1H2BC",0.758,0.390025722575992,0.516,0.390025722575993,0.818,0.662,"7","HIST1H2BC","7"
"APH1B",0.757,0.300395383580344,0.514,0.300395383580344,0.841,0.813,"7","APH1B","7"
