"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"ELOC",0.743,0.627373408059275,0.486,0.627373408059275,0.91,0.771,"5","ELOC","5"
"NNMT",0.742,0.659364066194715,0.484,0.659364066194716,0.95,0.823,"5","NNMT","5"
"TRAF3IP2",0.739,0.401883926244885,0.478,0.401883926244885,0.82,0.609,"5","TRAF3IP2","5"
"GPM6A1",0.739,0.273749097800848,0.478,0.273749097800848,0.85,0.682,"5","GPM6A","5"
"AC119674.2",0.739,0.271572089252779,0.478,0.271572089252779,0.69,0.333,"5","AC119674.2","5"
"SSH1",0.738,0.689936185358394,0.476,0.689936185358395,0.905,0.742,"5","SSH1","5"
"CXCL3",0.737,0.639390776110877,0.474,0.639390776110877,0.79,0.453,"5","CXCL3","5"
"LRRC59",0.737,0.517337723075289,0.474,0.517337723075289,0.835,0.653,"5","LRRC59","5"
"LRG1",0.737,0.353341053774094,0.474,0.353341053774093,0.82,0.585,"5","LRG1","5"
"CYLD",0.736,0.587082472871447,0.472,0.587082472871448,0.93,0.694,"5","CYLD","5"
"AKAP13",0.735,0.570450972668146,0.47,0.570450972668145,0.93,0.821,"5","AKAP13","5"
"RHOU",0.735,0.369782202503378,0.47,0.369782202503378,0.88,0.66,"5","RHOU","5"
"MAP3K1",0.734,0.32448514839567,0.468,0.32448514839567,0.88,0.69,"5","MAP3K1","5"
"TMEM176A",0.734,0.29253782323973,0.468,0.29253782323973,0.81,0.544,"5","TMEM176A","5"
"CHIC2",0.732,0.579999038406357,0.464,0.579999038406358,0.855,0.727,"5","CHIC2","5"
"SLC7A1",0.732,0.492596195143246,0.464,0.492596195143246,0.755,0.528,"5","SLC7A1","5"
"NFKBIB",0.732,0.400146482791981,0.464,0.40014648279198,0.805,0.497,"5","NFKBIB","5"
"NCL",0.73,0.654234135709298,0.46,0.654234135709298,0.965,0.847,"5","NCL","5"
"GJA1",0.73,0.644365890486843,0.46,0.644365890486841,0.845,0.679,"5","GJA1","5"
"RELA",0.729,0.283588584726204,0.458,0.283588584726205,0.945,0.785,"5","RELA","5"
"FOXO1",0.728,0.609799932016689,0.456,0.60979993201669,0.885,0.67,"5","FOXO1","5"
"MED24",0.728,0.342765001338652,0.456,0.342765001338652,0.79,0.485,"5","MED24","5"
"TMEM70",0.727,0.486962738908641,0.454,0.486962738908641,0.865,0.648,"5","TMEM70","5"
"SUSD6",0.727,0.428016705856096,0.454,0.428016705856096,0.905,0.617,"5","SUSD6","5"
"CXCL2",0.726,0.97939417694427,0.452,0.97939417694427,0.845,0.676,"5","CXCL2","5"
"RASGEF1B",0.725,0.57409382924429,0.45,0.574093829244289,0.73,0.443,"5","RASGEF1B","5"
"OTUD4",0.724,0.641059238948982,0.448,0.641059238948983,0.79,0.528,"5","OTUD4","5"
"RCN1",0.724,0.458953376767748,0.448,0.458953376767747,0.915,0.704,"5","RCN1","5"
"NOLC1",0.724,0.441577234688133,0.448,0.441577234688133,0.83,0.61,"5","NOLC1","5"
"EEF1A1",0.724,0.393223396006037,0.448,0.393223396006036,1,0.99,"5","EEF1A1","5"
"RND1",0.724,0.360043776344416,0.448,0.360043776344415,0.93,0.626,"5","RND1","5"
"BIRC3",0.723,0.742889801614978,0.446,0.742889801614978,0.815,0.631,"5","BIRC3","5"
"ANGPT2",0.723,0.270783083543024,0.446,0.270783083543024,0.79,0.477,"5","ANGPT2","5"
"TNPO1",0.722,0.47061166199531,0.444,0.470611661995309,0.91,0.725,"5","TNPO1","5"
"MYOF",0.722,0.451196107546239,0.444,0.45119610754624,0.88,0.601,"5","MYOF","5"
"MORF4L2",0.721,0.52003232157842,0.442,0.52003232157842,0.865,0.646,"5","MORF4L2","5"
"FAM241A",0.721,0.491865754228867,0.442,0.491865754228866,0.92,0.838,"5","FAM241A","5"
"SERPING11",0.721,0.462289941994525,0.442,0.462289941994525,0.955,0.787,"5","SERPING1","5"
"NACA",0.721,0.411281947124775,0.442,0.411281947124774,0.975,0.903,"5","NACA","5"
"RACK1",0.721,0.394990405592891,0.442,0.394990405592891,0.98,0.915,"5","RACK1","5"
"USP7",0.721,0.347500776699696,0.442,0.347500776699696,0.915,0.714,"5","USP7","5"
"AGO2",0.72,0.520404309298846,0.44,0.520404309298847,0.81,0.564,"5","AGO2","5"
"SNX9",0.72,0.499956092010388,0.44,0.499956092010388,0.88,0.725,"5","SNX9","5"
"CD55",0.719,0.607963664073608,0.438,0.607963664073607,0.9,0.733,"5","CD55","5"
"CD36",0.719,0.258964134761735,0.438,0.258964134761736,0.895,0.76,"5","CD36","5"
"NRN1",0.717,0.510355809518674,0.434,0.510355809518674,0.85,0.647,"5","NRN1","5"
"KITLG",0.717,0.504735418600074,0.434,0.504735418600074,0.895,0.647,"5","KITLG","5"
"YBX3",0.717,0.446119169125282,0.434,0.446119169125283,0.985,0.91,"5","YBX3","5"
"FBXO30",0.717,0.438910341215204,0.434,0.438910341215205,0.79,0.62,"5","FBXO30","5"
"C6orf106",0.717,0.278207983653183,0.434,0.278207983653183,0.785,0.505,"5","C6orf106","5"
"ZNF644",0.716,0.472730307003323,0.432,0.472730307003323,0.92,0.715,"5","ZNF644","5"
"NDRG1",0.716,0.459636631819031,0.432,0.45963663181903,0.965,0.867,"5","NDRG1","5"
"HLA-E",0.716,0.370138414254697,0.432,0.370138414254695,0.995,0.973,"5","HLA-E","5"
"TXN",0.715,0.596826675669143,0.43,0.596826675669142,0.88,0.687,"5","TXN","5"
"HLA-DQB1",0.715,0.477052900552352,0.43,0.477052900552352,0.805,0.583,"5","HLA-DQB1","5"
"PHLDB2",0.715,0.466584499872605,0.43,0.466584499872605,0.875,0.671,"5","PHLDB2","5"
"YBX1",0.715,0.460494147792281,0.43,0.460494147792281,0.93,0.821,"5","YBX1","5"
"NFIL3",0.715,0.34809367540853,0.43,0.34809367540853,0.9,0.648,"5","NFIL3","5"
"MAN2A2",0.714,0.261835139128613,0.428,0.261835139128613,0.86,0.591,"5","MAN2A2","5"
"ARL13B",0.713,0.493815322137982,0.426,0.493815322137981,0.91,0.793,"5","ARL13B","5"
"CCDC50",0.713,0.461721009484426,0.426,0.461721009484426,0.9,0.668,"5","CCDC50","5"
"DDX21",0.713,0.378689651096963,0.426,0.378689651096962,0.96,0.782,"5","DDX21","5"
"FTH1",0.712,0.390248912408856,0.424,0.390248912408854,0.995,0.965,"5","FTH1","5"
"IRAK2",0.712,0.368903327199604,0.424,0.368903327199604,0.84,0.681,"5","IRAK2","5"
"NCEH1",0.712,0.269464294986933,0.424,0.269464294986933,0.745,0.461,"5","NCEH1","5"
"RNF19B",0.711,0.795214772024921,0.422,0.79521477202492,0.79,0.595,"5","RNF19B","5"
"ZNF267",0.711,0.675035719413047,0.422,0.675035719413047,0.785,0.654,"5","ZNF267","5"
"FNIP2",0.71,0.774233391273794,0.42,0.774233391273795,0.82,0.724,"5","FNIP2","5"
"EVA1C",0.709,0.487804229429104,0.418,0.487804229429104,0.855,0.63,"5","EVA1C","5"
"MID1",0.709,0.393596714328206,0.418,0.393596714328206,0.845,0.574,"5","MID1","5"
"BTF3",0.709,0.364223963089576,0.418,0.364223963089577,0.97,0.895,"5","BTF3","5"
"C2orf69",0.709,0.272097136487559,0.418,0.272097136487558,0.9,0.758,"5","C2orf69","5"
"SPHK1",0.708,0.545693835931382,0.416,0.545693835931381,0.78,0.579,"5","SPHK1","5"
"THBS1",0.706,0.88266950346191,0.412,0.882669503461911,0.795,0.645,"5","THBS1","5"
"FKBP1A",0.706,0.459187068597682,0.412,0.459187068597681,0.945,0.858,"5","FKBP1A","5"
"RALGAPA2",0.706,0.437009651050254,0.412,0.437009651050254,0.86,0.646,"5","RALGAPA2","5"
"KPNA6",0.705,0.451758693689277,0.41,0.451758693689276,0.86,0.716,"5","KPNA6","5"
"USP16",0.705,0.33153990673083,0.41,0.33153990673083,0.92,0.66,"5","USP16","5"
"GLRX",0.705,0.267017525581838,0.41,0.267017525581837,0.88,0.759,"5","GLRX","5"
"DOT1L",0.704,0.303594307857787,0.408,0.303594307857787,0.72,0.447,"5","DOT1L","5"
"SBDS",0.703,0.475115951238763,0.406,0.475115951238762,0.875,0.692,"5","SBDS","5"
"KDSR",0.703,0.464864450593522,0.406,0.464864450593521,0.89,0.728,"5","KDSR","5"
