"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"RGS1",0.783,0.795503038452447,0.566,0.795503038452448,0.969,0.7,"5","RGS1","5"
"IGLC2",0.779,1.07954226026121,0.558,1.07954226026121,0.703,0.207,"5","IGLC2","5"
"HLA-E",0.768,0.66916762815202,0.536,0.669167628152021,0.938,0.84,"5","HLA-E","5"
"HLA-A",0.759,0.610880811771537,0.518,0.610880811771537,0.984,0.839,"5","HLA-A","5"
"HLA-B",0.748,0.549210041794485,0.496,0.549210041794485,0.922,0.889,"5","HLA-B","5"
"SMIM1",0.74,1.17798456487268,0.48,1.17798456487268,0.578,0.123,"5","SMIM1","5"
"CLU",0.738,0.505501675468302,0.476,0.505501675468302,0.969,0.866,"5","CLU","5"
"LAPTM4A",0.734,0.563758606676747,0.468,0.563758606676747,0.938,0.852,"5","LAPTM4A","5"
"CPA3",0.734,0.422720535358358,0.468,0.422720535358358,0.984,0.96,"5","CPA3","5"
"ALOX5AP",0.731,0.724593744668721,0.462,0.724593744668721,0.891,0.807,"5","ALOX5AP","5"
"HLA-DPB1",0.726,0.877940994690574,0.452,0.877940994690574,0.641,0.215,"5","HLA-DPB1","5"
"HLA-DRB1",0.716,0.836670261580823,0.432,0.836670261580823,0.672,0.275,"5","HLA-DRB1","5"
"PIK3IP1",0.708,0.992374742048985,0.416,0.992374742048985,0.516,0.124,"5","PIK3IP1","5"
"PSAP",0.707,0.492947644000245,0.414,0.492947644000245,0.891,0.744,"5","PSAP","5"
"DDIT4",0.704,0.91709253117284,0.408,0.91709253117284,0.797,0.595,"5","DDIT4","5"
